model,input_size,num_procs,sample_size,m,branching_factor,index_time,search_time,recall,activation_rate
naive_dist,512000,2,-1,-1,2,1651.56,196.938,0.110998,1
naive_dist,512000,4,-1,-1,4,1005.73,242.047,0.159668,1
naive_dist,512000,8,-1,-1,8,404.756,198.324,0.225658,1
naive_dist,512000,16,-1,-1,16,188.924,180.984,0.319252,1
naive_dist,512000,32,-1,-1,32,97.4233,194.423,0.442465,1
naive_dist,512000,64,-1,-1,64,49.4959,192.795,0.584473,1
naive_dist,512000,128,-1,-1,128,29.037,177.573,0.725689,1
naive_dist,512000,256,-1,-1,256,24.0951,165.97,0.845918,1
naive_dist,512000,512,-1,-1,512,24.8864,145.871,0.928563,1
pyramid_v1,512000,1,10240,512,8,1689.01,197.807,0.378141,1
pyramid_v1,512000,2,10240,512,8,1984.74,249.459,0.536549,0.993867
pyramid_v1,512000,4,10240,512,8,1965.28,251.274,0.668807,0.887453
pyramid_v1,512000,8,10240,512,8,1346.84,175.969,0.742246,0.652355
pyramid_v1,512000,16,10240,512,8,1058.07,143.799,0.831469,0.407287
pyramid_v1,512000,32,10240,512,8,992.13,143.356,0.887527,0.204767
pyramid_v1,512000,64,10240,512,8,965.479,152.178,0.926893,0.104768
pyramid_v1,512000,128,10240,512,8,828.575,135.461,0.949635,0.0561776
pyramid_v1,512000,256,10240,512,8,758.422,120.525,0.950262,0.0297432
pyramid_v1,512000,512,10240,512,8,617.904,125.738,0.959777,0.015625
pyramid_v2,512000,1,10240,512,8,1449.33,142.069,0.235459,1
pyramid_v2,512000,2,10240,512,8,1617.2,166.373,0.255764,0.99346
pyramid_v2,512000,4,10240,512,8,1388.86,137.736,0.443596,0.790786
pyramid_v2,512000,8,10240,512,8,1350.4,126.234,0.634402,0.615745
pyramid_v2,512000,16,10240,512,8,1091.13,78.4428,0.788967,0.354213
pyramid_v2,512000,32,10240,512,8,995.958,86.1142,0.876875,0.20411
pyramid_v2,512000,64,10240,512,8,717.616,67.2151,0.917158,0.108642
pyramid_v2,512000,128,10240,512,8,625.122,44.2351,0.92868,0.0563817
pyramid_v2,512000,256,10240,512,8,562.352,45.8137,0.948955,0.0291743
pyramid_v2,512000,512,10240,512,8,551.599,46.4447,0.957607,0.015625
